Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150423,0.750067398,-0.132723627,0.310445143,-0.269216487,0.304350931,0.467389354,0.437323124,0.575777153,0.887711217,0.593077389,2.144896,0.048109688,-2.942137694,0.594183854,0.124021937,0.301673684,0.596519942,0.988540351
20150422,-0.580420789,0.109726567,0.289515165,-0.400260635,-1.204043143,-0.54507677,0.145491362,-0.485350418,-1.015406095,-0.187465939,-0.127659792,-0.130895834,-1.474507225,-0.269410154,-0.310611905,-0.017748858,0.95059655,0.200061928
20150421,0.200453531,-0.189323828,-0.087163188,0.214953271,0.096569962,0.395101968,0.26989568,0.091439043,0.032182614,0.013146329,-0.401974859,-0.042706721,0.671535381,0.04796067,0.069453131,-0.07646992,-0.614554878,0.081332303
20150420,0.710214826,0.504397565,0.711527341,0.848643104,0.799612648,0.861979141,0.244100829,0.255878333,0.384496958,1.389096711,0.453158229,0.072543631,5.014931481,0.95391875,0.445859651,0.099310479,0.702772559,1.283443201
20150417,-0.578975794,-0.92992406,-1.240202723,-0.952469022,-0.814692515,-0.374817801,-0.323916059,-0.735587793,-0.790120971,-0.662631517,-1.044192765,-0.417268327,1.824550692,-0.615558106,-0.815870579,-0.144884497,-0.479492127,-0.867295557
20150416,-2.330189433,-1.953961069,-1.174960457,-1.232377929,-0.943019661,-0.716202023,-0.358051841,-0.801360967,-1.635449386,-1.731204303,-1.694563342,-0.233920041,-1.600653985,-1.77227719,-0.546586914,-0.133265521,-0.58564626,-0.837513324
20150415,-0.077300967,-0.254480164,-0.363826188,-0.141790339,-0.819780124,-0.310696005,-0.260040371,0.079169275,0.149415941,-0.930578367,-0.59988785,-0.207490713,-2.548494073,-0.270314876,-0.127921144,-0.036955381,1.365756525,0.22225169
20150414,-0.034688454,-0.353488639,-0.392847726,-0.113593336,-0.085904796,-0.207780268,-0.529786697,-0.659692834,-0.317588856,-0.884826705,-0.24032593,-0.289241042,-0.701952568,-0.19280964,-0.740855982,-0.360577993,0.953622515,-0.236642598
20150413,0.902443509,-0.293376795,0.006685804,0.170583776,-0.230430433,0.593540461,0.076172292,0.636002579,1.235348495,-0.585376743,1.082585676,0.2831899,1.499469071,0.146971548,0.531333852,0.057067786,0.400192936,0.794567359
20150410,1.002092267,1.121681862,1.373849115,1.929990539,1.593402788,0.288426433,0.431252093,0.414989616,1.147118108,1.353383574,1.003223639,0.319248162,-0.731157806,1.831793141,0.902724078,0.089038587,1.951899188,2.297563218
20150409,-0.092703958,0.861631788,0.903708811,0.81678114,0.872296988,-0.387688551,0.142550995,0.033797672,-0.1317879,0.647138076,-0.077646468,0.083454227,-3.658860811,0.629355317,-0.005877213,-0.092556751,0.010676813,0.047945066
20150408,-0.940256279,-0.697670302,-0.138096115,-0.138096115,-0.439628078,-0.384849468,-0.321989746,-0.027539785,-0.380632679,-0.748935252,-0.885866039,-0.231135156,-2.184525275,-0.29256567,-0.260176682,-0.047659411,0.078848083,-0.420536967
20150407,-1.20785375,-1.104627626,0.208086603,-0.156725362,-0.566142836,-0.077236825,0.413411402,-0.15925665,-0.441344182,0.759691535,-0.680077929,0.275101161,-3.389639565,0.15847359,-0.122808902,0.26322532,-0.390857752,-1.389880081
20150402,0.640653891,-0.248143118,-0.94017035,-0.692520776,-0.269935758,-0.276432239,-0.46209117,-1.057083836,-1.054455789,-0.909016693,-0.507245628,-0.329835114,-1.659251441,0.277578545,-0.537099435,-0.061997098,-0.405893573,-0.739114958
20150401,0.030124235,-0.734677435,-0.316566584,0.037192004,0.202247181,-0.190375884,0.300958156,-0.374673542,-0.183590804,-0.353600727,0.621228988,-0.254237068,0.031264111,-0.350461403,-0.490958868,-0.114215021,-0.201067989,-0.962997094
20150331,0.770852383,1.01256156,1.03107559,0.799330793,0.042785597,-0.046524687,-0.030197618,0.089310861,-0.134877585,1.370035884,0.596571509,-0.176943971,0.606785775,0.468405055,-0.039648736,-0.085174205,0.321456732,0.705775125
20150330,1.666860476,1.052319095,-0.252117246,0.10142923,0.512917703,0.343567113,0.588823159,0.235795805,0.732162844,0.211430801,0.624899262,-0.166018122,0.628219596,0.132584025,0.343903423,0.08159875,-0.029436182,0.823978319
20150327,0.716495044,0.537301505,0.865922737,1.077745026,0.076703731,-0.095723969,0.087620945,0.017885489,0.529775554,1.600733184,0.468294349,0.021147419,0.210292835,0.999701083,0.234699845,0.010700058,0.640363754,1.322308619
20150326,0.576656166,-0.314121288,-0.071498116,0.109359337,0.190914823,0.545079187,-0.241821212,0.43415837,-0.037308295,0.19673513,0.857278723,0.125649532,0.424371895,0.350415563,-0.130535287,0.100950319,1.30686529,0.584510648
20150325,0.271853507,0.134182136,-0.071574452,-0.318616295,-0.033579659,0.330596225,-0.135840437,-0.417521275,0.47981285,-0.324416108,-0.172241282,-0.009469974,-1.653606761,-0.171598353,0.255300757,0.090545673,-0.155105128,-0.353991574
20150324,-1.026256527,-0.478279013,-1.007547801,-0.347031963,0.007023403,-0.475460435,-0.278463407,-0.271168719,-1.259034573,-0.73975302,-0.437536964,-0.008360806,-1.841162529,-0.255758933,-0.473630412,-0.14490182,0.077645848,-1.119795787
