Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090303,-1.258241482,-0.061618091,0.114795057,0.274263965,-0.553891733,0.914136468,-1.279370095,-0.347118702,-0.171688082,-0.815334562,-0.29154519,0.420157005,-0.779231999,-0.188900802,-0.127023061,0.229863921,0.150841537,1.252066369
20090302,-0.110602785,1.526431029,-0.215618894,0.022393909,0.45195547,-0.576158403,2.206149951,0.226244344,1.598019356,0.933728981,0.259824618,0.176932021,1.074883867,0.143156603,-0.115938225,0.89989795,-0.3796267,1.964946233
20090227,1.536498213,0.629524709,-0.047144397,0.201952205,-1.556251816,-1.675576478,0.991846771,-0.136414017,1.230348599,1.290426001,-0.516962843,-0.08191501,1.191959355,-0.376916416,-0.489779926,-0.101946247,-1.079643248,1.421448358
20090226,-0.482600965,-0.38878786,0,0.326429536,0.006369431,1.268584357,-0.324040392,-0.074545803,0.365881546,0.426610858,0.470702808,-0.579687995,0.101715903,0.506808641,0.36046664,-0.115713955,-0.101602188,-0.686196678
20090225,-0.565742284,-0.306326582,0.290442418,0.988973514,0.459596751,1.111111111,0.250363389,0.387000214,0.125930166,-0.897415444,0.260374288,-0.259149163,-0.320040909,0.133278655,0.458685394,-0.32295271,0.250724751,-1.116897249
20090224,0.005051526,-0.031248047,-0.690904213,0.193621868,0.395798946,1.081839954,1.171231049,-0.027787872,0.183507283,0.420555133,0.130356852,-0.219467411,1.861697351,-0.1484363,-0.061412936,0.570712695,-0.273480231,0.745450559
20090223,0.253215841,0.565646408,-0.087125528,-0.340522134,0.131997734,2.082279548,0.375065006,1.062841589,-0.348591348,0.040068919,1.003949967,0.996567646,0.561736869,0.919468981,1.331288616,-0.152883947,1.644031451,-0.53894081
20090220,0.760320457,0.270985631,-0.006701515,-0.147342174,-0.73320719,-0.3109505,1.570236469,-0.314404462,0.812305565,1.233115645,-0.180712995,-0.285795566,1.597438227,-0.154726907,-0.409482282,1.048640045,-0.897284534,1.214734469
20090219,-0.653959242,-0.088150107,0.878853434,-0.260004522,1.116471145,1.848840195,0.458275491,0.796613848,-2.042889391,-0.153902232,1.264348694,0.66704557,-1.891293389,0.654103722,1.421003008,0.107788921,0.865354081,-1.163977468
20090218,-0.121518987,-0.482486371,-0.141767367,-0.056490792,-2.327182683,0.542168675,0.800159924,0.165238944,0.750511713,-0.399354578,-0.562448304,-0.790282325,1.191473857,-0.062256809,-0.017955739,0.608232354,-0.300775685,-0.295959109
